%time,field.header.seq,field.header.stamp,field.header.frame_id,field.id,field.is_rtr,field.is_extended,field.is_error,field.dlc
1704781115229163292,509275,1704781115228774891,,515,0,0,0,8
1704781115229194262,509276,1704781115228811231,,520,0,0,0,8
1704781115229243323,509277,1704781115228829095,,1554,0,0,0,8
1704781115229256366,509278,1704781115228896668,,521,0,0,0,8
1704781115232844597,509279,1704781115230832972,,0,0,0,0,0
1704781115249408171,509280,1704781115249008620,,1554,0,0,0,8
1704781115250912386,509281,1704781115250672834,,0,0,0,0,0
1704781115256637282,509282,1704781115256359318,,514,0,0,0,8
1704781115256661811,509283,1704781115256507252,,513,0,0,0,8
1704781115257218733,509284,1704781115256791257,,515,0,0,0,8
1704781115257370442,509285,1704781115257080734,,520,0,0,0,8
1704781115257535967,509286,1704781115257321091,,521,0,0,0,8
1704781115267459107,509287,1704781115267060007,,1554,0,0,0,8
1704781115270964967,509288,1704781115270680654,,0,0,0,0,0
1704781115278146471,509289,1704781115277556375,,608,0,0,0,8
1704781115278181385,509290,1704781115277658617,,609,0,0,0,8
1704781115287305073,509291,1704781115286931069,,514,0,0,0,8
1704781115287346550,509292,1704781115287123381,,513,0,0,0,8
1704781115287680394,509293,1704781115287376665,,515,0,0,0,8
1704781115287892713,509294,1704781115287617637,,520,0,0,0,8
1704781115288135419,509295,1704781115287852158,,1554,0,0,0,8
1704781115288445395,509296,1704781115288166510,,521,0,0,0,8
1704781115291248149,509297,1704781115291007840,,0,0,0,0,0
1704781115309327158,509298,1704781115308894562,,1554,0,0,0,8
1704781115310782719,509299,1704781115310473917,,0,0,0,0,0
1704781115317003402,509300,1704781115316481270,,514,0,0,0,8
1704781115317049968,509301,1704781115316550431,,513,0,0,0,8
1704781115317088707,509302,1704781115316814167,,515,0,0,0,8
1704781115317423331,509303,1704781115317114417,,520,0,0,0,8
1704781115317444275,509304,1704781115317283048,,521,0,0,0,8
1704781115321325139,509305,1704781115320928477,,16,0,0,0,3
1704781115321402243,509306,1704781115321040225,,17,0,0,0,3
1704781115321544222,509307,1704781115321275797,,18,0,0,0,3
1704781115321694662,509308,1704781115321407681,,19,0,0,0,3
1704781115321951700,509309,1704781115321590845,,20,0,0,0,3
1704781115321975759,509310,1704781115321630130,,21,0,0,0,3
1704781115322086016,509311,1704781115321815692,,22,0,0,0,3
1704781115322189918,509312,1704781115321948672,,23,0,0,0,3
1704781115322414265,509313,1704781115322081958,,24,0,0,0,3
1704781115322567222,509314,1704781115322244994,,25,0,0,0,3
1704781115322582170,509315,1704781115322395300,,26,0,0,0,3
1704781115323101997,509316,1704781115322837194,,27,0,0,0,3
1704781115323119261,509317,1704781115322872489,,64,0,0,0,3
1704781115327308685,509318,1704781115326900445,,1554,0,0,0,8
1704781115331350928,509319,1704781115330975755,,0,0,0,0,0
1704781115347453602,509320,1704781115346897078,,514,0,0,0,8
1704781115347497223,509321,1704781115347035366,,513,0,0,0,8
1704781115347523027,509322,1704781115347301946,,515,0,0,0,8
1704781115347942007,509323,1704781115347609887,,520,0,0,0,8
1704781115348162008,509324,1704781115347800550,,1554,0,0,0,8
1704781115348370909,509325,1704781115348059058,,521,0,0,0,8
1704781115350910419,509326,1704781115350647217,,0,0,0,0,0
1704781115369209715,509327,1704781115368776766,,1554,0,0,0,8
1704781115370761778,509328,1704781115370394454,,0,0,0,0,0
1704781115376740378,509329,1704781115376345341,,514,0,0,0,8
1704781115376774259,509330,1704781115376440231,,513,0,0,0,8
1704781115377157217,509331,1704781115376755300,,515,0,0,0,8
1704781115377176424,509332,1704781115376976626,,520,0,0,0,8
1704781115377501928,509333,1704781115377228503,,521,0,0,0,8
1704781115387311566,509334,1704781115386785451,,608,0,0,0,8
1704781115387352420,509335,1704781115387005980,,609,0,0,0,8
1704781115387590978,509336,1704781115387212586,,1554,0,0,0,8
1704781115392269415,509337,1704781115391856574,,0,0,0,0,0
1704781115407773215,509338,1704781115407190648,,514,0,0,0,8
1704781115407816099,509339,1704781115407283180,,513,0,0,0,8
1704781115408129852,509340,1704781115407449985,,515,0,0,0,8
1704781115408144310,509341,1704781115407608017,,520,0,0,0,8
1704781115408169332,509342,1704781115407821252,,1554,0,0,0,8
1704781115408296105,509343,1704781115408092629,,521,0,0,0,8
1704781115410704866,509344,1704781115410454859,,0,0,0,0,0
1704781115421126999,509345,1704781115420902918,,16,0,0,0,3
1704781115421146934,509346,1704781115420963314,,17,0,0,0,3
1704781115421242171,509347,1704781115421110307,,18,0,0,0,3
1704781115421531911,509348,1704781115421375082,,19,0,0,0,3
1704781115421574971,509349,1704781115421452820,,20,0,0,0,3
1704781115421663241,509350,1704781115421547489,,21,0,0,0,3
1704781115421798286,509351,1704781115421693498,,22,0,0,0,3
1704781115421941108,509352,1704781115421852940,,23,0,0,0,3
1704781115422119228,509353,1704781115422002602,,24,0,0,0,3
1704781115422262046,509354,1704781115422154117,,25,0,0,0,3
1704781115422401516,509355,1704781115422313409,,26,0,0,0,3
1704781115422544244,509356,1704781115422465261,,27,0,0,0,3
1704781115422685386,509357,1704781115422609384,,64,0,0,0,3
1704781115428953622,509358,1704781115428689649,,1554,0,0,0,8
1704781115430249225,509359,1704781115430122463,,0,0,0,0,0
1704781115436805245,509360,1704781115436315079,,514,0,0,0,8
1704781115437078898,509361,1704781115436492526,,513,0,0,0,8
1704781115437257493,509362,1704781115436805337,,515,0,0,0,8
1704781115437610017,509363,1704781115437065990,,520,0,0,0,8
1704781115437723928,509364,1704781115437245289,,521,0,0,0,8
1704781115447808786,509365,1704781115446970537,,1554,0,0,0,8
1704781115451701204,509366,1704781115450977718,,0,0,0,0,0
1704781115467414029,509367,1704781115466899237,,514,0,0,0,8
1704781115467618421,509368,1704781115467108720,,513,0,0,0,8
1704781115467638410,509369,1704781115467253995,,515,0,0,0,8
1704781115468245591,509370,1704781115467818567,,520,0,0,0,8
1704781115468294442,509371,1704781115467876922,,1554,0,0,0,8
1704781115468396064,509372,1704781115468097569,,521,0,0,0,8
1704781115471987939,509373,1704781115471489877,,0,0,0,0,0
1704781115489034650,509374,1704781115488656367,,1554,0,0,0,8
1704781115490810630,509375,1704781115490510811,,0,0,0,0,0
1704781115496796488,509376,1704781115496287120,,514,0,0,0,8
1704781115497116927,509377,1704781115496501519,,513,0,0,0,8
1704781115497134138,509378,1704781115496728968,,515,0,0,0,8
1704781115497586607,509379,1704781115497061322,,520,0,0,0,8
1704781115497622723,509380,1704781115497175227,,521,0,0,0,8
1704781115497922228,509381,1704781115497501422,,608,0,0,0,8
1704781115498171214,509382,1704781115497722842,,609,0,0,0,8
1704781115507173220,509383,1704781115506910556,,1554,0,0,0,8
1704781115510743633,509384,1704781115510496378,,0,0,0,0,0
1704781115521199681,509385,1704781115520865792,,16,0,0,0,3
1704781115521224054,509386,1704781115520993688,,17,0,0,0,3
1704781115521347428,509387,1704781115521160848,,18,0,0,0,3
1704781115521543758,509388,1704781115521284689,,19,0,0,0,3
1704781115521557460,509389,1704781115521410141,,20,0,0,0,3
1704781115521798193,509390,1704781115521629340,,21,0,0,0,3
1704781115521888515,509391,1704781115521690645,,22,0,0,0,3
1704781115522089248,509392,1704781115521855614,,23,0,0,0,3
1704781115522226435,509393,1704781115522040052,,24,0,0,0,3
1704781115522384217,509394,1704781115522200195,,25,0,0,0,3
1704781115522446295,509395,1704781115522308324,,26,0,0,0,3
1704781115522612594,509396,1704781115522460259,,27,0,0,0,3
1704781115522777292,509397,1704781115522617064,,64,0,0,0,3
1704781115527039409,509398,1704781115526812726,,514,0,0,0,8
1704781115527235239,509399,1704781115526984357,,513,0,0,0,8
1704781115527410785,509400,1704781115527211604,,515,0,0,0,8
1704781115527672794,509401,1704781115527486150,,520,0,0,0,8
1704781115527856574,509402,1704781115527695407,,1554,0,0,0,8
1704781115528104570,509403,1704781115527946541,,521,0,0,0,8
1704781115531058792,509404,1704781115530836135,,0,0,0,0,0
1704781115548908042,509405,1704781115548610785,,1554,0,0,0,8
1704781115550817225,509406,1704781115550633935,,0,0,0,0,0
1704781115556460114,509407,1704781115556204171,,514,0,0,0,8
1704781115556477885,509408,1704781115556354444,,513,0,0,0,8
1704781115556892249,509409,1704781115556610885,,515,0,0,0,8
1704781115557126827,509410,1704781115556904072,,520,0,0,0,8
