%time,field.header.seq,field.header.stamp,field.header.frame_id,field.status.header.seq,field.status.header.stamp,field.status.header.frame_id,field.status.satellites_used,field.status.satellites_visible,field.status.status,field.status.motion_source,field.status.orientation_source,field.status.position_source,field.latitude,field.longitude,field.altitude,field.track,field.speed,field.climb,field.pitch,field.roll,field.dip,field.time,field.gdop,field.pdop,field.hdop,field.vdop,field.tdop,field.err,field.err_horz,field.err_vert,field.err_track,field.err_speed,field.err_climb,field.err_time,field.err_pitch,field.err_roll,field.err_dip,field.position_covariance0,field.position_covariance1,field.position_covariance2,field.position_covariance3,field.position_covariance4,field.position_covariance5,field.position_covariance6,field.position_covariance7,field.position_covariance8,field.position_covariance_type
1704780596915970852,9733,0,,0,0,,0,0,0,0,0,0,36.90393694,118.16624945,25.61,0.0,1.345,0.0,-0.07,-0.17,111.92,195016.2,0.0,0.0,-0.489,1.253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1704780597015950239,9734,0,,0,0,,0,0,0,0,0,0,36.90393649,118.16625086,25.6,0.0,1.326,0.0,-0.03,-0.24,111.13,195016.3,0.0,0.0,-0.488,1.233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1704780597116184087,9735,0,,0,0,,0,0,0,0,0,0,36.90393606,118.16625222,25.6,0.0,1.272,0.0,-0.07,-0.17,110.29,195016.4,0.0,0.0,-0.459,1.187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1704780597216305222,9736,0,,0,0,,0,0,0,0,0,0,36.90393568,118.16625349,25.6,0.0,1.126,0.0,-0.09,-0.18,109.48,195016.5,0.0,0.0,-0.368,1.064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1704780597316466502,9737,0,,0,0,,0,0,0,0,0,0,36.90393538,118.16625463,25.6,0.0,1.044,0.0,0.07,-0.3,108.77,195016.6,0.0,0.0,-0.332,0.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1704780597415522774,9738,0,,0,0,,0,0,0,0,0,0,36.90393507,118.16625572,25.6,0.0,1.002,0.0,0.09,-0.27,108.16,195016.7,0.0,0.0,-0.328,0.947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1704780597515829817,9739,0,,0,0,,0,0,0,0,0,0,36.90393479,118.16625677,25.6,0.0,0.981,0.0,0.17,-0.28,107.55,195016.8,0.0,0.0,-0.295,0.936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1704780597616221381,9740,0,,0,0,,0,0,0,0,0,0,36.90393452,118.16625783,25.6,0.0,1.015,0.0,0.26,-0.35,106.95,195016.9,0.0,0.0,-0.294,0.971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1704780597716105562,9741,0,,0,0,,0,0,0,0,0,0,36.90393425,118.16625893,25.6,0.0,1.04,0.0,0.26,-0.35,106.38,195017.0,0.0,0.0,-0.31,0.993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1704780597815285248,9742,0,,0,0,,0,0,0,0,0,0,36.90393395,118.16626006,25.6,0.0,1.062,0.0,0.31,-0.33,105.8,195017.1,0.0,0.0,-0.298,1.019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1704780597915630437,9743,0,,0,0,,0,0,0,0,0,0,36.9039337,118.16626122,25.6,0.0,1.081,0.0,0.32,-0.38,105.44,195017.2,0.0,0.0,-0.281,1.044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1704780598015587931,9744,0,,0,0,,0,0,0,0,0,0,36.90393343,118.1662624,25.6,0.0,1.091,0.0,0.28,-0.41,105.17,195017.3,0.0,0.0,-0.288,1.052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1704780598115905746,9745,0,,0,0,,0,0,0,0,0,0,36.90393317,118.16626359,25.6,0.0,1.094,0.0,0.26,-0.46,104.78,195017.4,0.0,0.0,-0.278,1.058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1704780598216079369,9746,0,,0,0,,0,0,0,0,0,0,36.90393291,118.16626477,25.6,0.0,1.091,0.0,0.23,-0.53,104.42,195017.5,0.0,0.0,-0.271,1.057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1704780598316114324,9747,0,,0,0,,0,0,0,0,0,0,36.90393267,118.16626594,25.6,0.0,1.079,0.0,0.25,-0.52,104.11,195017.6,0.0,0.0,-0.278,1.042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1704780598415746349,9748,0,,0,0,,0,0,0,0,0,0,36.90393243,118.16626712,25.6,0.0,1.077,0.0,0.24,-0.55,103.89,195017.7,0.0,0.0,-0.254,1.046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1704780598515539069,9749,0,,0,0,,0,0,0,0,0,0,36.90393221,118.1662683,25.6,0.0,1.076,0.0,0.24,-0.61,103.86,195017.8,0.0,0.0,-0.254,1.046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1704780598615189100,9750,0,,0,0,,0,0,0,0,0,0,36.90393196,118.16626947,25.6,0.0,1.081,0.0,0.23,-0.61,103.84,195017.9,0.0,0.0,-0.27,1.047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1704780598715827010,9751,0,,0,0,,0,0,0,0,0,0,36.90393173,118.16627065,25.6,0.0,1.084,0.0,0.22,-0.63,103.85,195018.0,0.0,0.0,-0.253,1.055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1704780598815078632,9752,0,,0,0,,0,0,0,0,0,0,36.90393149,118.16627183,25.6,0.0,1.083,0.0,0.22,-0.68,103.87,195018.1,0.0,0.0,-0.257,1.052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
