%time,field.header.seq,field.header.stamp,field.header.frame_id,field.status.status,field.status.service,field.latitude,field.longitude,field.altitude,field.position_covariance0,field.position_covariance1,field.position_covariance2,field.position_covariance3,field.position_covariance4,field.position_covariance5,field.position_covariance6,field.position_covariance7,field.position_covariance8,field.position_covariance_type
1704780818145915486,11946,1704780818145429179,gnss_link,0,1,36.90414815,118.16647162,4.794593988153622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
1704780818246691908,11947,1704780818246278162,gnss_link,0,1,36.90414823,118.16647042,4.794419455228423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
1704780818346688276,11948,1704780818346143523,gnss_link,0,1,36.90414831,118.16646917,4.794593988153622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
1704780818447010541,11949,1704780818446303138,gnss_link,0,1,36.90414839,118.16646789,4.797037449106415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
1704780818546973144,11950,1704780818546526437,gnss_link,0,1,36.90414847,118.1664666,4.801226239311201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
1704780818647187122,11951,1704780818646649678,gnss_link,0,1,36.90414858,118.16646532,4.8076839575435795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
1704780818746419526,11952,1704780818745835571,gnss_link,0,1,36.90414868,118.16646405,4.815537939177555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
1704780818846487607,11953,1704780818845996027,gnss_link,0,1,36.90414879,118.1664628,4.823391920811529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
1704780818947048101,11954,1704780818946455324,gnss_link,0,1,36.90414891,118.16646157,4.832118567071501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
1704780819046921101,11955,1704780819046437521,gnss_link,0,1,36.90414903,118.16646037,4.840147081630675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
1704780819146186108,11956,1704780819145679293,gnss_link,0,1,36.90414915,118.1664593,4.847128398638652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
1704780819246426237,11957,1704780819245751858,gnss_link,0,1,36.90414926,118.16645835,4.8537606497962305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
1704780819346416307,11958,1704780819345871449,gnss_link,0,1,36.90414937,118.16645745,4.856553176599421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
