%time,field.header.seq,field.header.stamp,field.header.frame_id,field.orientation.x,field.orientation.y,field.orientation.z,field.orientation.w,field.orientation_covariance0,field.orientation_covariance1,field.orientation_covariance2,field.orientation_covariance3,field.orientation_covariance4,field.orientation_covariance5,field.orientation_covariance6,field.orientation_covariance7,field.orientation_covariance8,field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,field.angular_velocity_covariance0,field.angular_velocity_covariance1,field.angular_velocity_covariance2,field.angular_velocity_covariance3,field.angular_velocity_covariance4,field.angular_velocity_covariance5,field.angular_velocity_covariance6,field.angular_velocity_covariance7,field.angular_velocity_covariance8,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z,field.linear_acceleration_covariance0,field.linear_acceleration_covariance1,field.linear_acceleration_covariance2,field.linear_acceleration_covariance3,field.linear_acceleration_covariance4,field.linear_acceleration_covariance5,field.linear_acceleration_covariance6,field.linear_acceleration_covariance7,field.linear_acceleration_covariance8
1704780578721648808,9551,1704780578721409870,imu_link,-0.0013036637302497862,0.003413239148452129,-0.4838844841024848,0.8751242519232717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.015533430342749534,0.006806784082777885,0.08604473212332044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07649186999999999,0.34617474499999995,9.772326725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1704780578821566294,9552,1704780578821420758,imu_link,-0.002125308599947951,0.003750269117619584,-0.48021177106081747,0.8771419916293677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0020943951023931952,-0.011868238913561443,0.08080874436733745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0196133,-0.24712757999999999,10.003763665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1704780578921818834,9553,1704780578921569180,imu_link,-0.001875705821984254,0.003498272606872902,-0.4765350415077253,0.8791465168171163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011868238913561443,0.0054105206811824215,0.09058258817850572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00784532,0.18240368999999998,9.825282634999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1704780579021899096,9554,1704780579021453835,imu_link,-0.0017752608164992292,0.003524466214138644,-0.4720791125138999,0.8815473544370872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.012740903539558606,0.0038397243543875246,0.10925761117484502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04903325,0.40991796999999996,9.70662217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1704780579121364561,9555,1704780579121092417,imu_link,-0.002398280881231014,0.004426287313926052,-0.46729642062165966,0.8840863710654148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.015707963267948967,0.008203047484373348,0.10489428804485919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06668521999999999,-0.20790097999999999,9.923349135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1704780579221651930,9556,1704780579221217701,imu_link,-0.0021829621309363183,0.004682554716386757,-0.46258231367846847,0.886561284643954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0041887902047863905,0.01308996938995747,0.11257373675363426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.057859234999999995,0.0392266,9.68504754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1704780579321718123,9557,1704780579321427290,imu_link,-0.0016581623432327813,0.005170772274814534,-0.45738854684735236,0.8892503757798434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00942477796076938,0.00017453292519943296,0.11780972450961724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.15396440499999997,0.303025485,9.873335219999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1704780579420635215,9558,1704780579420456011,imu_link,-0.002390605706077519,0.005126088583280933,-0.4522579921373213,0.8918692262703727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.019896753472735354,0.0005235987755982988,0.11239920382843484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.11179581,-0.04511059,9.7870367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1704780579521174806,9559,1704780579520770911,imu_link,-0.002263534706884749,0.005424652381661415,-0.4471898002344063,0.8944197740007097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008028514559173916,-0.0006981317007977319,0.11414453308042916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.157887065,-0.1176798,9.999841005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1704780579621300181,9560,1704780579620965832,imu_link,-0.0018625375691721107,0.004906677158903157,-0.4420354682747977,0.8969822184748937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005759586531581288,-0.00034906585039886593,0.11641346110802178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.10100849499999999,0.25987622499999996,9.799785344999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
